K,eta,C,trigger_probability,expected_payoff,fair_premium,premium_with_loading
4500,0.4,7500,0.9905,7185.308672746686,7185.308672746686,8622.370407296023
4500,0.4,10000,0.9945,9624.168929880258,9624.168929880258,11549.002715856308
4500,0.4,12500,0.994,12026.84811711388,12026.84811711388,14432.217740536655
4500,0.4,15000,0.991,14390.630509592847,14390.630509592847,17268.756611511417
4500,0.5,5000,0.998,4858.874963318495,4858.874963318495,5830.649955982194
4500,0.5,7500,0.9975,7285.0573976747,7285.0573976747,8742.06887720964
4500,0.5,10000,0.9985,9724.356662834853,9724.356662834853,11669.227995401823
4500,0.5,12500,0.999,12159.634035427129,12159.634035427129,14591.560842512554
4500,0.5,15000,0.9995,14596.397313814316,14596.397313814316,17515.676776577176
5000,0.1,5000,0.9685,4714.3900113263335,4714.3900113263335,5657.2680135916
5000,0.1,7500,0.969,7074.174886283061,7074.174886283061,8489.009863539673
5000,0.1,10000,0.962,9369.254435996962,9369.254435996962,11243.105323196354
5000,0.1,12500,0.97,11801.995167932331,11801.995167932331,14162.394201518797
5000,0.1,15000,0.968,14130.751979390565,14130.751979390565,16956.902375268677
5000,0.2,5000,0.997,4890.539268204882,4890.539268204882,5868.647121845858
5000,0.2,7500,0.997,7337.060042712251,7337.060042712251,8804.472051254701
5000,0.2,10000,0.997,9778.579698767915,9778.579698767915,11734.295638521498
5000,0.2,12500,0.9975,12241.457607133445,12241.457607133445,14689.749128560134
5000,0.2,15000,0.994,14625.275357331322,14625.275357331322,17550.330428797584
5000,0.3,5000,1.0,4929.378629507031,4929.378629507031,5915.254355408438
5000,0.3,7500,0.9995,7392.862135594115,7392.862135594115,8871.434562712937
5000,0.3,10000,0.999,9847.844452099194,9847.844452099194,11817.413342519032
5000,0.3,12500,0.999,12311.281987138078,12311.281987138078,14773.538384565692
5000,0.3,15000,0.999,14769.285380266994,14769.285380266994,17723.14245632039
5000,0.4,5000,1.0,4943.070139941473,4943.070139941473,5931.684167929768
5000,0.4,7500,1.0,7415.299376363568,7415.299376363568,8898.35925163628
5000,0.4,10000,1.0,9885.937460506348,9885.937460506348,11863.124952607617
5000,0.4,12500,1.0,12360.314432349027,12360.314432349027,14832.377318818832
5000,0.4,15000,1.0,14831.466748344701,14831.466748344701,17797.76009801364
5000,0.5,5000,1.0,4952.058039270965,4952.058039270965,5942.469647125158
5000,0.5,7500,1.0,7426.395305950988,7426.395305950988,8911.674367141184
5000,0.5,10000,1.0,9901.411875662816,9901.411875662816,11881.694250795379
5000,0.5,12500,1.0,12378.153959052172,12378.153959052172,14853.784750862606
5000,0.5,15000,1.0,14854.375158209354,14854.375158209354,17825.250189851224
5500,0.1,5000,1.0,4962.44278745853,4962.44278745853,5954.931344950236
5500,0.1,7500,1.0,7443.5017570523305,7443.5017570523305,8932.202108462796
5500,0.1,10000,1.0,9924.849963981822,9924.849963981822,11909.819956778187
5500,0.1,12500,1.0,12405.863475907761,12405.863475907761,14887.036171089312
5500,0.1,15000,1.0,14887.090603241833,14887.090603241833,17864.508723890198
5500,0.2,5000,1.0,4962.603162619164,4962.603162619164,5955.123795142997
5500,0.2,7500,1.0,7443.821404986999,7443.821404986999,8932.585685984399
5500,0.2,10000,1.0,9925.169121060457,9925.169121060457,11910.202945272547
5500,0.2,12500,1.0,12406.569707475852,12406.569707475852,14887.883648971021
5500,0.2,15000,1.0,14887.735419213832,14887.735419213832,17865.2825030566
5500,0.3,5000,1.0,4962.627898459879,4962.627898459879,5955.153478151855
5500,0.3,7500,1.0,7443.960411143536,7443.960411143536,8932.752493372242
5500,0.3,10000,1.0,9925.268157086035,9925.268157086035,11910.32178850324
5500,0.3,12500,1.0,12406.538961369513,12406.538961369513,14887.846753643415
5500,0.3,15000,1.0,14887.902235629046,14887.902235629046,17865.482682754853
5500,0.4,5000,1.0,4962.640274095693,4962.640274095693,5955.168328914831
5500,0.4,7500,1.0,7443.960411143536,7443.960411143536,8932.752493372242
5500,0.4,10000,1.0,9925.280548191386,9925.280548191386,11910.336657829663
5500,0.4,12500,1.0,12406.554334519125,12406.554334519125,14887.86520142295
5500,0.4,15000,1.0,14887.920822287071,14887.920822287071,17865.504986744483
5500,0.5,5000,1.0,4962.640274095693,4962.640274095693,5955.168328914831
5500,0.5,7500,1.0,7443.960411143536,7443.960411143536,8932.752493372242
5500,0.5,10000,1.0,9925.268157086035,9925.268157086035,11910.32178850324
5500,0.5,12500,1.0,12406.600685239226,12406.600685239226,14887.92082228707
5500,0.5,15000,1.0,14887.920822287071,14887.920822287071,17865.504986744483
